LatinName,FeastCode,EnglishName,Date
Tr. Christofori,17002000,Moving of Christopher's relics,
Additamenta,17001000,Added or Miscellaneous Items,
Ad Visit. Infirmum,16013000,Chants for the visiting of the sick,
Ad Missam,16012000,Mass chants appearing as a group,
In Dedic. Altaris,16011000,Commemoration of an Altar's Dedication,
Ad Aquam Benedictio,16010000,For the Blessing of Water,
Ad Processionem,16009000,For Processions,
Conductus,16008000,Conductus,
Hymni,16007000,Hymns,
Ad Completorium,16006000,For Compline,
Ad Nunc Dimittis,16005000,Antiphons for the Nunc Dimittis canticle,
Invitatoria,16004000,Invitatory Antiphons or Psalms,
Ad Magnificat,16003000,Antiphons for the Magnificat canticle,
Ad Benedictus,16002000,Antiphons for the Benedictus canticle,
Ad Benedicite,16001000,Antiphons for the Benedicite canticle,
Suff. Stephani,15122600,Memorial chants for Stephen,
Suff. Nicolai,15120600,Memorial chants for Nicholas,
Suff. Reliquiarum,15120400,Memorial chants for Relics,
Suff. Martini,15111100,Memorial chants for Martin of Tours,
Suff. Marcelli Par.,15110300,Memorial chants for Marcellus of Paris,
Suff. Om. Sanct. TP,15110180,"Memorial chants for All Saints, Eastertide",
Suff. Om. Sanct. Nat,15110130,"Memorial chants for All Saints, Christmas",
Suff. Om. Sanct. Adv,15110110,"Memorial chants for All Saints, Advent",
Suff. Om. Sanctorum,15110100,Memorial chants for All Saints,
Suff. Francisci,15100400,Memorial chants for Francis,
Suff. Michaelis,15092900,Memorial chants for Michael,
Suff. Justinae TP,15092680,"Memorial chants for Justina, Eastertide",
Suff. Justinae,15092600,Memorial chants for Justina,
Suff. Mauritii,15092200,Memorial chants for Maurice,
Suff. Lamberti,15091700,Memorial chants for Lambert,
Suff. Exalt. Crucis,15091400,Memorial chants for the Exaltation of the Cross,
Suff. Mariae TP,15081580,"Memorial chants for Mary, Eastertide",
Suff. Mariae Nat.,15081530,"Memorial chants for Mary, Christmas",
Suff. Mariae Adv.,15081510,"Memorial chants for Mary, Advent",
Recollectio Mariae,15081501,Recollection of Feasts of Mary,
Suff. Mariae,15081500,Memorial chants for Mary,
Suff. Laurentii,15081000,Memorial chants for Laurence,
Suff. Hermagorae,15071200,Memorial chants for Hermagoras,
Suff. Petri,15062910,Memorial chants for Peter,
"Suff. Petri, Pauli",15062900,Memorial chants for Peter and Paul,
Suff. Jo. Bapt. TP,15062480,"Memorial chants for John the Baptist, Eastertide",
Suff. Jo. Bapt. Nat.,15062430,"Memorial chants for John the Baptist, Christmas",
Suff. Jo. Bapt. Adv.,15062410,"Memorial chants for John the Baptist, Advent",
Suff. Joannis Bapt.,15062400,Memorial chants for John the Baptist,
Suff. Crucis TP,15050380,"Memorial chants for the Holy Cross, Eastertide",
Suff. Crucis,15050300,Memorial chants for the Holy Cross,
Suff. Benedicti,15032100,Memorial chants for Benedict,
Suff. David,15030100,Memorial chants for David,
"Suff. Oswaldi,Wulst.",15022800,"Memorial chants for Oswald, Wulfstan",
Suff. Walburgae,15022500,Memorial chants for Walburga,
Suff. Vedasti,15020600,Memorial chants for Vaast,
Suff. Agnetis,15012100,Memorial chants for Agnes,
Suff. Genovefae,15010300,Memorial chants for Genevieve,
Suff. Virginum,15010000,Memorial Chants for Virgins,
Officia votiva,15009000,Votive Offices,
De BMV post Purif.,15008200,"Votive Office for Mary, after Purification",
De BMV post Epiph.,15008150,"Votive Office for Mary, after Epiphany",
De BMV TP,15008080,"Votive Office for Mary, Eastertide",
De BMV Nat.,15008030,"Votive Office for Mary, Christmas",
De BMV Adv.,15008010,"Votive Office for Mary, Advent",
De BMV,15008000,Votive Office for Mary,
Suff. Martyrorum,15007000,Memorial Chants for Martyrs,
Suff. un. Mart. TP,15006080,"Memorial chants for one Martyr, Eastertide",
Suff. Confessorum,15005000,Memorial chants for Confessors,
Suff. Apostolorum,15004000,Memorial chants for Apostles,
Suff. pro Penitent.,15003000,Memorial chants for penitence,
Suff. pro Pace,15001000,Memorial chants for peace,
Ad Suffragium,15000000,Memorial chants,
Columbae,14123110,"Columba of Sens, Virgin Martyr",Dec.31
Silvestri,14123100,"Silvester I, Pope",Dec.31
Perpetui,14123010,"Perpetuus, Bishop of Tours",Dec.30
"Egwini,8",14123008,In week after Egwin,
